objectType,rarity,type,catchable,ap,dp,hpOfPokemon,hpOfPlayer,shiny,catch
pokemon,<7,other,y,<30,<30,<50,<60,y,y
pokemon,>7,other,y,<30,<30,<50,<60,y,y
pokemon,<7,normal,y,<30,<30,<50,<60,y,y
pokemon,>7,normal,y,<30,<30,<50,<60,y,y
pokemon,<7,other,n,<30,<30,<50,<60,y,n
pokemon,>7,other,n,<30,<30,<50,<60,y,n
pokemon,<7,normal,n,<30,<30,<50,<60,y,n
pokemon,>7,normal,n,<30,<30,<50,<60,y,n
pokemon,<7,other,y,>30,<30,<50,<60,y,y
pokemon,>7,other,y,>30,<30,<50,<60,y,y
pokemon,<7,normal,y,>30,<30,<50,<60,y,y
pokemon,>7,normal,y,>30,<30,<50,<60,y,y
pokemon,<7,other,n,>30,<30,<50,<60,y,n
pokemon,>7,other,n,>30,<30,<50,<60,y,n
pokemon,<7,normal,n,>30,<30,<50,<60,y,n
pokemon,>7,normal,n,>30,<30,<50,<60,y,n
pokemon,<7,other,y,<30,>30,<50,<60,y,y
pokemon,>7,other,y,<30,>30,<50,<60,y,y
pokemon,<7,normal,y,<30,>30,<50,<60,y,y
pokemon,>7,normal,y,<30,>30,<50,<60,y,y
pokemon,<7,other,n,<30,>30,<50,<60,y,n
pokemon,>7,other,n,<30,>30,<50,<60,y,n
pokemon,<7,normal,n,<30,>30,<50,<60,y,n
pokemon,>7,normal,n,<30,>30,<50,<60,y,n
pokemon,<7,other,y,>30,>30,<50,<60,y,y
pokemon,>7,other,y,>30,>30,<50,<60,y,y
pokemon,<7,normal,y,>30,>30,<50,<60,y,y
pokemon,>7,normal,y,>30,>30,<50,<60,y,y
pokemon,<7,other,n,>30,>30,<50,<60,y,n
pokemon,>7,other,n,>30,>30,<50,<60,y,n
pokemon,<7,normal,n,>30,>30,<50,<60,y,n
pokemon,>7,normal,n,>30,>30,<50,<60,y,n
pokemon,<7,other,y,<30,<30,>50,<60,y,y
pokemon,>7,other,y,<30,<30,>50,<60,y,y
pokemon,<7,normal,y,<30,<30,>50,<60,y,y
pokemon,>7,normal,y,<30,<30,>50,<60,y,y
pokemon,<7,other,n,<30,<30,>50,<60,y,n
pokemon,>7,other,n,<30,<30,>50,<60,y,n
pokemon,<7,normal,n,<30,<30,>50,<60,y,n
pokemon,>7,normal,n,<30,<30,>50,<60,y,n
pokemon,<7,other,y,>30,<30,>50,<60,y,y
pokemon,>7,other,y,>30,<30,>50,<60,y,y
pokemon,<7,normal,y,>30,<30,>50,<60,y,y
pokemon,>7,normal,y,>30,<30,>50,<60,y,y
pokemon,<7,other,n,>30,<30,>50,<60,y,n
pokemon,>7,other,n,>30,<30,>50,<60,y,n
pokemon,<7,normal,n,>30,<30,>50,<60,y,n
pokemon,>7,normal,n,>30,<30,>50,<60,y,n
pokemon,<7,other,y,<30,>30,>50,<60,y,y
pokemon,>7,other,y,<30,>30,>50,<60,y,y
pokemon,<7,normal,y,<30,>30,>50,<60,y,y
pokemon,>7,normal,y,<30,>30,>50,<60,y,y
pokemon,<7,other,n,<30,>30,>50,<60,y,n
pokemon,>7,other,n,<30,>30,>50,<60,y,n
pokemon,<7,normal,n,<30,>30,>50,<60,y,n
pokemon,>7,normal,n,<30,>30,>50,<60,y,n
pokemon,<7,other,y,>30,>30,>50,<60,y,y
pokemon,>7,other,y,>30,>30,>50,<60,y,y
pokemon,<7,normal,y,>30,>30,>50,<60,y,y
pokemon,>7,normal,y,>30,>30,>50,<60,y,y
pokemon,<7,other,n,>30,>30,>50,<60,y,n
pokemon,>7,other,n,>30,>30,>50,<60,y,n
pokemon,<7,normal,n,>30,>30,>50,<60,y,n
pokemon,>7,normal,n,>30,>30,>50,<60,y,n
pokemon,<7,other,y,<30,<30,<50,>60,y,y
pokemon,>7,other,y,<30,<30,<50,>60,y,y
pokemon,<7,normal,y,<30,<30,<50,>60,y,y
pokemon,>7,normal,y,<30,<30,<50,>60,y,y
pokemon,<7,other,n,<30,<30,<50,>60,y,n
pokemon,>7,other,n,<30,<30,<50,>60,y,n
pokemon,<7,normal,n,<30,<30,<50,>60,y,n
pokemon,>7,normal,n,<30,<30,<50,>60,y,n
pokemon,<7,other,y,>30,<30,<50,>60,y,y
pokemon,>7,other,y,>30,<30,<50,>60,y,y
pokemon,<7,normal,y,>30,<30,<50,>60,y,y
pokemon,>7,normal,y,>30,<30,<50,>60,y,y
pokemon,<7,other,n,>30,<30,<50,>60,y,n
pokemon,>7,other,n,>30,<30,<50,>60,y,n
pokemon,<7,normal,n,>30,<30,<50,>60,y,n
pokemon,>7,normal,n,>30,<30,<50,>60,y,n
pokemon,<7,other,y,<30,>30,<50,>60,y,y
pokemon,>7,other,y,<30,>30,<50,>60,y,y
pokemon,<7,normal,y,<30,>30,<50,>60,y,y
pokemon,>7,normal,y,<30,>30,<50,>60,y,y
pokemon,<7,other,n,<30,>30,<50,>60,y,n
pokemon,>7,other,n,<30,>30,<50,>60,y,n
pokemon,<7,normal,n,<30,>30,<50,>60,y,n
pokemon,>7,normal,n,<30,>30,<50,>60,y,n
pokemon,<7,other,y,>30,>30,<50,>60,y,y
pokemon,>7,other,y,>30,>30,<50,>60,y,y
pokemon,<7,normal,y,>30,>30,<50,>60,y,y
pokemon,>7,normal,y,>30,>30,<50,>60,y,y
pokemon,<7,other,n,>30,>30,<50,>60,y,n
pokemon,>7,other,n,>30,>30,<50,>60,y,n
pokemon,<7,normal,n,>30,>30,<50,>60,y,n
pokemon,>7,normal,n,>30,>30,<50,>60,y,n
pokemon,<7,other,y,<30,<30,>50,>60,y,n
pokemon,>7,other,y,<30,<30,>50,>60,y,y
pokemon,<7,normal,y,<30,<30,>50,>60,y,y
pokemon,>7,normal,y,<30,<30,>50,>60,y,y
pokemon,<7,other,n,<30,<30,>50,>60,y,y
pokemon,>7,other,n,<30,<30,>50,>60,y,n
pokemon,<7,normal,n,<30,<30,>50,>60,y,n
pokemon,>7,normal,n,<30,<30,>50,>60,y,n
pokemon,<7,other,y,>30,<30,>50,>60,y,y
pokemon,>7,other,y,>30,<30,>50,>60,y,y
pokemon,<7,normal,y,>30,<30,>50,>60,y,y
pokemon,>7,normal,y,>30,<30,>50,>60,y,y
pokemon,<7,other,n,>30,<30,>50,>60,y,n
pokemon,>7,other,n,>30,<30,>50,>60,y,n
pokemon,<7,normal,n,>30,<30,>50,>60,y,n
